transaction_id,customer_id,beneficiary_id,amount,timestamp,country,channel,device_id,merchant_category
T001020,C074,B006,1170.23,2025-01-01 00:12:54,USA,IMPS,DEV-02-C074,Dining
T000649,C045,B172,29777.28,2025-01-01 03:24:24,Nigeria,SWIFT,DEV-03-C045,Dining
T001179,C087,B100,56995.66,2025-01-01 03:41:01,India,NEFT,DEV-02-C087,Utilities
T000087,C005,B224,2668.67,2025-01-01 03:56:27,USA,RTGS,DEV-03-C005,Electronics
T001670,C120,B251,12389.46,2025-01-01 04:51:36,India,RTGS,DEV-02-C120,Utilities
T000900,C066,B087,47870.85,2025-01-01 11:15:32,Singapore,IMPS,DEV-01-C066,Healthcare
T001549,C112,B024,4367.47,2025-01-01 12:29:31,Singapore,RTGS,DEV-03-C112,Healthcare
T002011,C146,B223,11041.72,2025-01-01 13:32:19,Singapore,Cash Deposit,DEV-01-C146,Utilities
T001594,C116,B010,1307.42,2025-01-01 13:37:28,UK,NEFT,DEV-01-C116,Travel
T000266,C016,B180,12258.2,2025-01-01 14:13:39,UAE,IMPS,DEV-03-C016,Healthcare
T000441,C029,B128,22060.1,2025-01-01 15:54:55,Singapore,SWIFT,DEV-01-C029,Entertainment
T001718,C125,B108,24265.14,2025-01-01 16:37:36,UAE,Cash Deposit,DEV-02-C125,Utilities
T001322,C094,B004,2331.05,2025-01-01 16:49:59,UAE,NEFT,DEV-03-C094,Crypto Exchange
T000277,C016,B062,33018.73,2025-01-01 18:00:43,UK,Cash Deposit,DEV-02-C016,Travel
T000065,C004,B271,16174.11,2025-01-01 18:13:44,Nigeria,RTGS,DEV-02-C004,Utilities
T001045,C076,B125,2478.95,2025-01-01 20:48:29,India,RTGS,DEV-03-C076,Entertainment
T001022,C074,B154,12023.14,2025-01-01 21:16:49,UK,UPI,DEV-03-C074,Electronics
T001983,C145,B133,14082.86,2025-01-01 22:07:50,Nigeria,RTGS,DEV-03-C145,Travel
T000072,C004,B288,16696.48,2025-01-01 22:31:55,India,NEFT,DEV-03-C004,Travel
T001977,C145,B141,4047.49,2025-01-01 22:58:59,India,SWIFT,DEV-01-C145,Healthcare
T001828,C134,B020,17144.45,2025-01-02 01:01:11,Singapore,NEFT,DEV-03-C134,Travel
T001161,C086,B130,8417.36,2025-01-02 04:26:46,UK,SWIFT,DEV-02-C086,Jewelry
T000630,C045,B062,17241.54,2025-01-02 05:30:41,Nigeria,IMPS,DEV-03-C045,Groceries
T000856,C063,B028,12115.04,2025-01-02 06:12:40,Nigeria,UPI,DEV-01-C063,Crypto Exchange
T002018,C146,B257,4819.78,2025-01-02 07:48:15,Nigeria,IMPS,DEV-01-C146,Fuel
T001348,C096,B143,17169.33,2025-01-02 09:47:47,Nigeria,SWIFT,DEV-03-C096,Electronics
T001844,C135,B089,37415.63,2025-01-02 10:56:23,UK,Cash Deposit,DEV-02-C135,Groceries
T000242,C014,B166,2936.43,2025-01-02 12:46:21,UAE,UPI,DEV-01-C014,Travel
T001909,C140,B165,4117.51,2025-01-02 14:45:05,Nigeria,UPI,DEV-01-C140,Fuel
T000621,C043,B038,10279.73,2025-01-02 14:53:20,USA,NEFT,DEV-01-C043,Dining
T000882,C064,B162,14037.25,2025-01-02 15:21:31,UK,Cash Deposit,DEV-01-C064,Jewelry
T001467,C108,B280,27744.44,2025-01-02 17:10:29,India,SWIFT,DEV-01-C108,Healthcare
T001190,C087,B275,13865.83,2025-01-02 19:37:01,UAE,RTGS,DEV-03-C087,Fuel
T000280,C017,B224,12055.36,2025-01-02 19:40:15,UK,NEFT,DEV-02-C017,Crypto Exchange
T000031,C002,B251,16968.35,2025-01-02 21:23:02,India,UPI,DEV-02-C002,Electronics
T000687,C050,B113,7381.0,2025-01-02 22:26:08,USA,SWIFT,DEV-01-C050,Fuel
T001483,C108,B137,4225.14,2025-01-02 23:32:26,Nigeria,SWIFT,DEV-03-C108,Groceries
T001574,C115,B046,36864.6,2025-01-02 23:47:47,UAE,IMPS,DEV-02-C115,Healthcare
T002070,C150,B197,15145.45,2025-01-03 00:16:17,India,NEFT,DEV-03-C150,Groceries
T000212,C013,B152,6484.64,2025-01-03 03:07:22,Nigeria,SWIFT,DEV-02-C013,Groceries
T001031,C074,B274,14486.25,2025-01-03 03:34:07,UAE,NEFT,DEV-02-C074,Dining
T000392,C024,B255,4741.56,2025-01-03 06:00:16,India,SWIFT,DEV-03-C024,Entertainment
T001281,C092,B018,18138.16,2025-01-03 07:13:33,USA,NEFT,DEV-01-C092,Crypto Exchange
T000001,C001,B058,19149.44,2025-01-03 10:16:45,Nigeria,UPI,DEV-01-C001,Electronics
